_id,AfterCount,AfterCountStr,AverageScore,GoodRate,CommentCount,cn,product_category,product_detail,product_detail_url,product_id,product_price,product_shop_name,product_shop_url,type
7089766 ,1591,1500+,5,0.99,832858,jd,瓜子,"京东超市	
老街口山核桃味瓜子1斤 葵花籽炒货香瓜子休闲零食 每日坚果
								老街口山核桃味瓜子1斤 葵花籽炒货香瓜子休闲零食 每日坚果",//item.jd.com/7089766.html,7089766,￥10.90,老街口京东自营旗舰店,//mall.jd.com/index-1000102261.html?from=pc,食品
7089770 ,65,60+,5,0.98,31253,jd,瓜子,"京东超市	
老街口多味瓜子1斤装 葵花籽休闲零食坚果炒货小吃
								老街口多味瓜子1斤装 葵花籽休闲零食坚果炒货小吃",//item.jd.com/7089770.html,7089770,￥12.90,老街口京东自营旗舰店,//mall.jd.com/index-1000102261.html?from=pc,食品
7089776 ,75,70+,5,0.98,54415,jd,薯片,"京东超市	
老街口香脆红薯片300g/袋 地瓜干休闲零食脆片特产小吃
								老街口香脆红薯片300g/袋 地瓜干休闲零食脆片特产小吃",//item.jd.com/7089776.html,7089776,￥13.90,老街口京东自营旗舰店,//mall.jd.com/index-1000102261.html?from=pc,食品
7089786 ,230,200+,5,0.98,82700,jd,瓜子,"京东超市	
老街口南瓜子1斤 家庭装原味炒熟南瓜籽炒货独立小包装零食 每日坚果
								老街口南瓜子1斤 家庭装原味炒熟南瓜籽炒货独立小包装零食 每日坚果",//item.jd.com/7089786.html,7089786,￥18.90,老街口京东自营旗舰店,//mall.jd.com/index-1000102261.html?from=pc,食品
7124725 ,350,300+,5,0.96,61376,jd,耳机,"网易云音乐【仅11克】氧气耳机有线入耳式 游戏吃鸡电脑麦克风线控耳麦苹果华为荣耀小米vivo手机音乐耳机 黑
								【爆款推荐！限时满减到手仅89元】
【高回弹便携线材/4D音效立体声/让音乐入耳如清透空气】
【JD自营、一年质保、品质保障、8仓发货当/次日达】",//item.jd.com/7124725.html,7124725,￥99.00,网易云音乐京东自营旗舰店,//mall.jd.com/index-1000076941.html?from=pc,电子产品
7130272 ,146,100+,5,0.99,67854,jd,电脑包,"京东超市	
第九城V.NINE 苹果联想小新华为硕电脑包手提14英寸笔记本13.3英寸男女戴尔电脑内胆包 VD8BV11991J 灰色
								第九城V.NINE 苹果联想小新华为硕电脑包手提14英寸笔记本13.3英寸男女戴尔电脑内胆包 VD8BV11991J 灰色",//item.jd.com/7130272.html,7130272,￥79.00,第九城京东自营旗舰店,//mall.jd.com/index-1000009744.html?from=pc,包
7142388 ,47,40+,5,0.99,42699,jd,薯片,"京东超市	
韩国进口 GOOG LIFE FINUTE 网红零食大礼包 膨化薯片 趣莱福蒜香味虾片240g
								幸福莫过于孩子眼中的世界，颜色缤纷，味道甜美，有儿时的玩伴，有满满的零食箱，像个孩子，乐在京东。点击遇见幸福！",//item.jd.com/7142388.html,7142388,￥35.80,,,食品
7185305 ,7870,7800+,5,0.99,190770,jd,电视,"创维（SKYWORTH）55H5 55英寸4K超高清 液晶电视机 护眼防蓝光 AI全面屏电视 教育资源  支持投屏 语音电视
								【智慧屏时代】买我就现在，到手价不高于1999！库存有限，咨询客服购机晒单送399元蓝牙耳机！防蓝光的全面屏！教育资源【55A5领蓝牙耳机】",//item.jd.com/7185305.html,7185305,"￥1,999.00",创维电视京东自营旗舰店,//mall.jd.com/index-1000002826.html?from=pc,家电
7192358 ,530,500+,5,0.98,174311,jd,粉底,"京东国际	
韩国进口爱敬AGE20'S气垫BB霜粉底液黑金21号象牙白14g/只*2 隔离防晒霜 SPF50+ 遮瑕修颜定妆持久提亮肤色
								韩国进口爱敬AGE20'S气垫BB霜粉底液黑金21号象牙白14g/只*2 隔离防晒霜 SPF50+ 遮瑕修颜定妆持久提亮肤色",//item.jd.com/7192358.html,7192358,￥149.00,AeKyung Age 20’s爱敬海外京东自营旗舰店,//mall.jd.com/index-1000104171.html?from=pc,美妆
7220465 ,426,400+,5,0.97,268166,jd,辣条,"京东超市	
良品铺子零食大礼包一整箱礼盒 6荤3素鸭脖烤肠辣条豆干等30袋休闲零食小吃600g
								【良品铺子·好物正开抢】【自营·急速达】【10万份爆款第2件0元】戳我抢,抢,抢！",//item.jd.com/7220465.html,7220465,￥59.90,良品铺子京东自营旗舰店,//mall.jd.com/index-1000006804.html?from=pc,食品
